119,34,69,0,119
34,69,0,119,34
69,0,119,34,69
0,119,34,69,0
119,34,69,0,119
34,69,0,119,34
69,0,119,34,69
0,119,34,69,0
119,34,69,0,119
34,69,13,0,34
69,188,0,34,119
0,34,69,188,0
34,119,119,34,69
0,119,34,69,0
119,34,69,0,119
34,69,13,0,34
69,188,0,34,119
0,34,69,188,0
34,119,164,126,164
126,164,126,7,39
119,34,69,0,119
34,69,85,170,85
120,51,170,85,119
0,34,69,188,0
34,119,0,34,69
188,0,34,119,0
34,69,188,0,34
119,0,34,69,188
0,34,119,0,34
0,17,0,17,0
17,0,17,7,45
79,154,85,119,7
24,7,24,7,45
79,154,85,119,7
24,7,92,98,79
98,92,98,79,154
119,85,119,7,24
7,24,7,45,79
154,85,119,7,24
7,24,7,45,79
154,85,119,7,24
7,92,98,79,98
92,98,79,154,119
85,119,7,35,69
154,85,119,0,154
85,119,7,85,177
83,68,154,85,119
7,85,177,83,68
7,45,79,154,85
119,7,24,7,24
34,103,119,153,34
103,188,153,34,103
119,153,34,103,188
153,119,34,69,153
153,102,119,34,69
34,153,119,103,119
103,69,34,153,119
34,153,188,34,153
119,34,153,188,119
153,34,103,119,153
34,103,188,153,34
103,119,153,34,103
188,153,34,103,119
153,34,103,188,153
119,34,69,153,153
102,119,34,69,34
153,119,103,119,103
69,34,153,119,34
153,188,34,153,119
34,153,188,119,153
34,153,119,85,34
153,119,85,34,153
119,34,153,188,34
153,119,34,153,188
119,153,34,153,119
34,153,188,34,153
119,34,153,188,119
153,34,103,119,153
0,34,0,34,69
0,34,0,34,119
119,34,0,34,0
34,119,49,34,69
34,0,34,0,34
119,119,34,0,34
0,34,119,49,34
69,34,0,34,0
34,119,198,69,198
69,154,0,49,34
119,34,69,0,119
154,34,119,34,69
0,187,69,188,0
119,154,34,0,34
0,34,0,34,119
119,34,0,34,0
34,119,49,34,69
34,0,34,0,34
119,198,69,198,69
154,0,49,34,119
34,69,0,119,154
34,119,34,69,0
187,69,188,0,119
154,34,69,34,119
34,69,0,119,154
34,119,34,69,0
187,69,188,0,119
154,34,119,69,188
0,119,154,34,134
0,45,79,85,119
164,164,119,85,79
45,126,0,0,45
79,85,119,164,164
119,85,79,45,126
0,154,85,0,154
85,0,45,79,154
164,85,0,79,154
0,45,79,85,119
164,164,119,85,79
45,126,0,0,45
79,85,119,164,164
119,85,79,45,126
0,154,85,0,154
85,0,45,79,154
164,85,0,79,154
0,45,79,85,119
164,164,119,85,79
45,126,0,0,45
79,85,119,164,164
119,85,79,45,126
